technology_surface,asset_to_publish,traction_function,implementation_step,success_metric,risk_control
GitHub,"README, WHITEPAPER, data files, schema, CITATION.cff","Developer-readable and crawler-accessible research record","Create release and add DOI badge after Zenodo archive","Repository indexed; DOI badge visible; links from standards site","Keep claims research-focused, not promotional"
Zenodo,"GitHub release archive and DOI metadata","Citable scholarly artifact layer","Create versioned release from enabled repository","DOI minted; DOI cited in README/schema/standards page","Release only clean, public-safe artifacts"
Hugging Face,"Dataset card, CSV, JSONL, term bank","AI/data-native discoverability","Upload dataset files and README card","Dataset page live; files downloadable","Avoid personal/private/customer data"
Kaggle,"CSV, JSONL, SVG diagram, dataset notes","Google/Kaggle data discovery","Create public dataset with research description","Dataset indexed; profile links to standards page","Keep dataset factual and documentation-focused"
OSF,"Research project, methodology, artifact index","Academic project continuity","Add project links and method summary","OSF project links out to GitHub/Zenodo/standards","Avoid claims beyond documented artifacts"
Standards Site,"Human-readable study page and JSON-LD graph","Canonical explanation page for humans/search/AI","Publish website block at /roofing-near-me-research/","Indexed page; valid structured data","Do not make it read like an ad landing page"
Main Website,"Service and city contextual links","Routes research authority to money pages","Add natural internal links from repair, inspection, replacement, city pages","Search Console sees new internal links; clicks to money pages","Use natural anchors, not spammy exact-match repetition"
Search Console,"URL inspection and sitemap submission","Crawl/index confirmation","Request indexing for updated standards and money pages","Indexed status; enhancement reports","Do not submit broken GitHub Pages proxy URLs"
OpenAPI,"openapi.yaml and sample requests","Agent-ready/callable protocol layer","Publish YAML and link it from README and standards page","YAML accessible; referenced in schema/software docs","Label as documentation until live endpoint exists"
WordPress Apps,"Visibility Engine, Link Architect, RoughMeasure, Secure Scope, InstantRoofView, Scorecard","Operational proof that research is backed by technology","Map each app to a page and schema type","Tool starts; leads; internal links; app pages indexed","Keep API keys server-side and claims properly disclaimed"
